Partlist

Exported from MainBoard_ver2_2.sch at 2022/04/10 19:26

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value               Device              Package             Library             Sheet

C1       0.1u                C-USC0603           C0603               rcl                 1
C2       0.1u                C-USC0603           C0603               rcl                 1
C3       0.1u                C-USC0603           C0603               rcl                 1
C4       0.1u                C-USC0603           C0603               rcl                 1
C5       0.1u                C-USC0603           C0603               rcl                 1
C6       0.1u                C-USC0603           C0603               rcl                 1
C7       35PFV150M8X10.5     35PFV150M8X10.5     35PFV150M8X10.5     35PFV150M8X10.5     1
C8       35PFV150M8X10.5     35PFV150M8X10.5     35PFV150M8X10.5     35PFV150M8X10.5     1
C9       35PFV150M8X10.5     35PFV150M8X10.5     35PFV150M8X10.5     35PFV150M8X10.5     1
C10      35PFV150M8X10.5     35PFV150M8X10.5     35PFV150M8X10.5     35PFV150M8X10.5     1
C11      UWT1E221MNL1GS      UWT1E221MNL1GS      UWT1E221MNL1GS      UWT1E221MNL1GS      1
C12      1u                  C-USC0603           C0603               rcl                 1
C13      22u                 C-USC2012           C2012               rcl                 1
C14      1u                  C-USC0603           C0603               rcl                 1
C15      UWT1E221MNL1GS      UWT1E221MNL1GS      UWT1E221MNL1GS      UWT1E221MNL1GS      1
C16      10u                 C-USC0603           C0603               rcl                 1
CH1      XT60PW-M            XT60PW-M            XT60PW-M            AMASS_XT60          1
CH2      XT60PW-M            XT60PW-M            XT60PW-M            AMASS_XT60          1
CH3      B2B-XH-A            B2B-XH-A            B2B-XH-A            JST-XH              1
CH4      B2B-XH-A            B2B-XH-A            B2B-XH-A            JST-XH              1
CH5      B2B-XH-A            B2B-XH-A            B2B-XH-A            JST-XH              1
CH6      B2B-XH-A            B2B-XH-A            B2B-XH-A            JST-XH              1
CH7      B2B-XH-A            B2B-XH-A            B2B-XH-A            JST-XH              1
CH8      S4B-XH-A            S4B-XH-A            S4B-XH-A            JST-XH              1
CH9      S4B-XH-A            S4B-XH-A            S4B-XH-A            JST-XH              1
CH10     S4B-XH-A            S4B-XH-A            S4B-XH-A            JST-XH              1
CH11     S4B-XH-A            S4B-XH-A            S4B-XH-A            JST-XH              1
CH12     S4B-XH-A            S4B-XH-A            S4B-XH-A            JST-XH              1
CH13     S4B-XH-A            S4B-XH-A            S4B-XH-A            JST-XH              1
D1       SS34FA              SS34FA              SS34FA              SS34FA              1
F1       3557-2              3557-2              3557-2              3557-2              1
F2       3557-2              3557-2              3557-2              3557-2              1
F3       MF-MSMF010          MF-MSMF010          MF-MSMF010          MF-MSMF             1
F4       3557-2              3557-2              3557-2              3557-2              1
F5       MF-MSMF050/30X      MF-MSMF050/30X      MF-MSMF050          MF-MSMF             1
F6       3557-2              3557-2              3557-2              3557-2              1
IC1      ADM3078E            ADM3078E            ADM3078E            ADM3078E            1
IC2      ADM3078E            ADM3078E            ADM3078E            ADM3078E            1
IC3      ADM3078E            ADM3078E            ADM3078E            ADM3078E            1
IC4      ADM3078E            ADM3078E            ADM3078E            ADM3078E            1
IC5      LTC4412             LTC4412             LTC4412             LTC4412             1
L1       CDRH127/LDNP-470MC  CDRH127/LDNP-470MC  CDRH127/LDNP        CDRH127_LDNP        1
L2       CDRH127/LDNP-470MC  CDRH127/LDNP-470MC  CDRH127/LDNP        CDRH127_LDNP        1
L3       DFE201210S-2R2M     DFE201210S-2R2M     DFE201210S          DFE201210S          1
LED1                         LEDSML0603          SML0603             led                 1
LED2                         LEDSML0603          SML0603             led                 1
LED3                         LEDSML0603          SML0603             led                 1
LED4                         LEDSML0603          SML0603             led                 1
M1       FT4232H_MINI_MODULE FT4232H_MINI_MODULE FT4232H_MINI_MODULE FT4232H_MINI_MODULE 1
Q1       SQM40P10-40L_GE3    SQM40P10-40L_GE3    TO-252-3            Vishay_FET          1
Q2       SQM40P10-40L_GE3    SQM40P10-40L_GE3    TO-252-3            Vishay_FET          1
Q3       SQM40P10-40L_GE3    SQM40P10-40L_GE3    TO-252-3            Vishay_FET          1
Q4       SQM40P10-40L_GE3    SQM40P10-40L_GE3    TO-252-3            Vishay_FET          1
Q5       SQM40P10-40L_GE3    SQM40P10-40L_GE3    TO-252-3            Vishay_FET          1
R1       680                 R-US_R0603          R0603               rcl                 1
R2       120                 R-US_R0603          R0603               rcl                 1
R3       680                 R-US_R0603          R0603               rcl                 1
R4       680                 R-US_R0603          R0603               rcl                 1
R5       120                 R-US_R0603          R0603               rcl                 1
R6       680                 R-US_R0603          R0603               rcl                 1
R7       680                 R-US_R0603          R0603               rcl                 1
R8       120                 R-US_R0603          R0603               rcl                 1
R9       680                 R-US_R0603          R0603               rcl                 1
R10      680                 R-US_R0603          R0603               rcl                 1
R11      120                 R-US_R0603          R0603               rcl                 1
R12      680                 R-US_R0603          R0603               rcl                 1
R13      2k                  R-US_R0603          R0603               rcl                 1
R14      2k                  R-US_R0603          R0603               rcl                 1
R15      470k                R-US_R0603          R0603               rcl                 1
R16      10k                 R-US_R0603          R0603               rcl                 1
R17      10k                 R-US_R0603          R0603               rcl                 1
R18      2k                  R-US_R0603          R0603               rcl                 1
R19      8.66k               R-US_R0603          R0603               rcl                 1
R20      1k                  R-US_R0603          R0603               rcl                 1
R21      2k                  R-US_R0603          R0603               rcl                 1
VR1      XL6009E1            XL6009E1            TO263-5L            XL6009E1            1
